CISP,AISP,ano,mcirc,ocorrencias,qtde
9,2,2022,3304557,roubo_veiculo,92
9,2,2022,3304557,sequestro,0
9,2,2022,3304557,sequestro_relampago,0
9,2,2022,3304557,trafico_drogas,12
10,2,2019,3304557,aaapai,64
10,2,2019,3304557,ameaca,280
10,2,2019,3304557,apf,218
10,2,2019,3304557,apreensao_drogas,69
10,2,2019,3304557,apreensao_drogas_sem_autor,1
10,2,2019,3304557,cmba,18
10,2,2019,3304557,cmp,57
10,2,2019,3304557,cvli,6
10,2,2019,3304557,encontro_cadaver,4
10,2,2019,3304557,encontro_ossada,0
10,2,2019,3304557,estelionato,981
10,2,2019,3304557,estupro,18
10,2,2019,3304557,extorsao,24
10,2,2019,3304557,furto_bicicleta,116
10,2,2019,3304557,furto_celular,547
10,2,2019,3304557,furto_coletivo,265
10,2,2019,3304557,furto_transeunte,354
10,2,2019,3304557,furto_veiculos,99
10,2,2019,3304557,hom_culposo,4
10,2,2019,3304557,hom_doloso,6
10,2,2019,3304557,hom_por_interv_policial,1
10,2,2019,3304557,latrocinio,0
10,2,2019,3304557,lesao_corp_culposa,221
10,2,2019,3304557,lesao_corp_dolosa,308
10,2,2019,3304557,lesao_corp_morte,0
10,2,2019,3304557,letalidade_violenta,7
10,2,2019,3304557,pessoas_desaparecidas,22
10,2,2019,3304557,pol_civis_mortos_serv,0
10,2,2019,3304557,pol_militares_mortos_serv,0
10,2,2019,3304557,posse_drogas,52
10,2,2019,3304557,recuperacao_veiculos,38
10,2,2019,3304557,roubo_apos_saque,12
10,2,2019,3304557,roubo_banco,1
10,2,2019,3304557,roubo_bicicleta,17
10,2,2019,3304557,roubo_carga,8
10,2,2019,3304557,roubo_celular,392
10,2,2019,3304557,roubo_comercio,135
10,2,2019,3304557,roubo_conducao_saque,2
10,2,2019,3304557,roubo_cx_eletronico,1
10,2,2019,3304557,roubo_em_coletivo,110
10,2,2019,3304557,roubo_residencia,3
